,[0:0],[0:1],[0:2],[1:0],[1:1],[1:2],[2:0],[2:1],[2:2],Move
4893,Y,_,X,_,X,_,Y,Y,_,3
4894,X,_,_,X,Y,_,Y,_,_,2
4895,Y,_,X,X,X,Y,Y,_,_,1
4896,_,_,_,_,_,_,_,_,_,0
4897,X,Y,Y,Y,X,_,_,X,Y,5
4898,X,Y,_,_,Y,_,_,_,_,7
4899,Y,_,_,_,_,_,_,_,_,4
4900,X,Y,_,_,_,_,_,_,Y,6
4901,Y,_,X,_,X,_,Y,_,_,3
4902,Y,X,X,X,X,Y,Y,Y,_,8
4903,Y,X,_,X,X,Y,Y,Y,_,8
4904,Y,X,_,_,Y,Y,X,_,X,3
4905,X,Y,X,X,Y,_,Y,_,_,7
4906,Y,_,_,_,_,_,_,_,_,4
4907,Y,_,_,_,_,_,_,_,_,4
4908,Y,_,_,_,X,_,_,_,_,2
4909,X,Y,Y,Y,Y,X,X,_,_,7
4910,_,_,_,_,_,_,_,Y,_,0
4911,X,Y,_,Y,Y,X,X,X,Y,2
4912,Y,Y,X,X,X,Y,Y,_,_,7
4913,Y,X,Y,Y,X,_,_,_,_,6
4914,_,Y,X,X,Y,Y,Y,X,X,0
4915,Y,_,Y,_,X,_,_,_,_,1
4916,X,Y,X,_,Y,_,Y,_,_,7
4917,_,_,_,_,_,_,_,_,_,0
4918,_,_,_,_,_,_,_,_,_,0
4919,Y,_,_,_,_,_,_,_,X,6
4920,Y,_,_,_,_,X,_,_,_,4
4921,X,_,Y,_,Y,_,_,_,_,6
4922,Y,_,_,_,_,_,_,_,_,4
4923,X,Y,X,_,Y,_,Y,_,_,7
4924,_,_,_,_,Y,_,_,_,_,0
4925,Y,_,Y,_,X,_,_,_,_,1
4926,X,Y,X,Y,Y,_,Y,X,_,5
4927,X,_,_,Y,Y,_,X,_,_,1
4928,_,_,_,_,_,_,Y,_,_,0
4929,Y,X,_,X,X,Y,Y,_,_,7
4930,Y,_,Y,Y,X,_,X,_,_,1
4931,Y,_,_,X,X,Y,Y,_,_,7
4932,Y,_,X,_,Y,_,X,Y,X,1
4933,Y,X,Y,Y,X,X,X,Y,_,8
4934,_,_,_,_,_,_,_,_,_,0
4935,_,_,_,_,_,_,_,_,_,0
4936,X,X,Y,Y,Y,X,X,_,Y,7
4937,X,_,_,_,Y,_,_,_,_,2
4938,_,_,_,_,Y,_,_,_,_,0
4939,_,_,_,_,_,_,Y,_,_,0
4940,_,_,X,_,Y,_,_,_,_,0
4941,_,_,_,_,_,_,_,_,_,0
4942,Y,_,Y,_,X,_,X,_,_,1
4943,_,_,Y,_,_,_,_,_,_,0
4944,_,_,_,_,_,_,_,_,_,0
4945,Y,X,X,X,X,Y,Y,Y,_,8
4946,Y,X,Y,Y,X,_,X,Y,_,5
4947,_,_,_,_,_,_,_,_,_,0
4948,Y,X,Y,X,Y,_,X,Y,X,5
4949,X,X,Y,Y,Y,_,X,_,_,5
4950,X,X,Y,Y,Y,_,X,_,_,5
4951,Y,X,Y,X,X,Y,X,Y,_,8
4952,Y,_,Y,_,X,_,_,_,_,1
4953,Y,X,Y,Y,X,_,_,_,_,6
4954,Y,X,_,_,X,_,_,Y,_,6
4955,X,X,Y,_,Y,_,_,_,_,6
4956,X,_,_,_,Y,_,_,_,_,2
4957,Y,_,_,X,X,Y,_,_,_,1
4958,Y,X,Y,_,X,_,X,Y,_,5
4959,Y,X,X,X,Y,Y,_,Y,X,6
4960,X,X,Y,Y,Y,_,X,_,_,5
4961,X,Y,X,Y,Y,X,_,X,Y,6
4962,X,Y,Y,Y,Y,X,X,_,_,7
4963,Y,Y,X,X,X,Y,Y,_,_,7
4964,Y,_,_,_,X,_,_,_,_,2
4965,X,Y,X,X,Y,_,Y,_,_,7
4966,X,Y,X,X,Y,_,Y,_,_,7
4967,Y,_,X,X,X,Y,Y,_,_,1
4968,_,_,_,_,_,_,_,_,_,0
4969,X,Y,Y,Y,Y,X,X,_,_,7
4970,Y,Y,X,X,X,Y,Y,X,_,8
4971,_,_,_,_,_,_,_,_,_,0
4972,Y,_,Y,_,X,_,_,_,_,1
4973,X,_,_,_,Y,Y,_,_,_,3
4974,X,X,Y,Y,Y,X,X,Y,_,8
4975,X,_,Y,Y,_,_,_,_,_,4
4976,Y,_,X,X,X,Y,Y,_,_,1
4977,Y,X,Y,Y,X,X,X,Y,_,8
4978,X,_,_,X,Y,_,Y,_,_,2
4979,Y,_,X,_,_,_,_,_,_,4
4980,X,Y,_,_,_,_,Y,_,_,4
4981,_,_,_,_,_,_,_,_,_,0
4982,X,X,Y,Y,Y,_,X,_,_,5
4983,_,_,_,X,Y,_,_,_,_,0
4984,_,_,_,_,_,_,_,_,_,0
4985,Y,_,_,_,X,_,_,_,_,2
4986,X,Y,X,_,Y,_,_,_,_,3
4987,X,_,_,_,Y,_,_,_,_,2
4988,X,_,_,Y,Y,_,X,_,_,1
4989,Y,X,X,X,X,Y,Y,Y,_,8
4990,Y,X,Y,X,X,Y,_,Y,_,8
4991,_,_,_,_,Y,_,_,_,_,0
4992,_,Y,_,_,_,_,_,_,_,4
4993,Y,X,Y,Y,X,_,_,_,_,6
4994,_,_,_,_,Y,_,_,_,_,0
4995,X,X,Y,Y,X,_,Y,_,Y,7
4996,X,_,_,_,Y,_,_,_,_,2
4997,Y,_,X,_,_,_,_,_,_,4
4998,Y,_,X,_,_,_,_,_,_,4
4999,_,Y,Y,_,X,_,_,_,_,0
5000,_,_,_,_,_,_,_,_,_,0
5001,X,Y,X,X,Y,Y,Y,X,_,8
5002,_,_,Y,_,_,_,_,_,_,0
5003,_,_,_,_,Y,_,_,_,_,0
5004,Y,X,Y,_,X,_,_,Y,_,3
5005,Y,_,_,_,_,_,_,_,_,4
5006,X,Y,X,_,Y,_,Y,_,_,7
5007,X,Y,X,_,Y,_,_,_,_,3
5008,X,_,Y,Y,Y,_,X,_,_,5
5009,Y,_,_,_,X,_,_,_,_,2
5010,X,_,Y,Y,Y,_,X,_,_,5
5011,_,_,Y,Y,X,_,_,_,_,0
5012,Y,_,Y,Y,X,_,X,_,_,1
5013,X,Y,X,_,Y,_,Y,_,_,7
5014,_,_,_,_,_,_,_,_,_,0
5015,_,_,_,_,_,_,_,_,_,0
5016,_,_,_,_,_,_,_,_,_,0
5017,Y,Y,X,X,X,Y,Y,_,_,7
5018,_,_,_,_,_,_,_,_,_,0
5019,_,Y,_,_,_,_,_,_,_,4
5020,Y,_,X,_,_,_,_,_,_,4
5021,Y,_,Y,_,X,_,X,_,_,1
5022,Y,_,_,Y,X,_,_,_,_,6
5023,Y,X,Y,X,X,Y,X,Y,_,8
5024,Y,_,X,X,X,Y,Y,_,_,1
5025,X,Y,X,_,Y,_,Y,_,_,7
5026,Y,X,_,_,X,_,_,Y,_,6
5027,X,Y,Y,Y,Y,X,_,X,_,6
5028,Y,_,_,_,X,_,_,_,_,2
5029,X,X,Y,Y,Y,_,X,_,_,5
5030,Y,_,_,_,_,X,_,_,_,4
5031,X,_,_,_,Y,_,_,_,_,2
5032,Y,Y,X,X,X,Y,Y,X,_,8
5033,X,_,_,_,Y,_,_,_,_,2
5034,Y,_,Y,Y,X,_,X,_,_,1
5035,X,_,Y,Y,Y,_,X,_,_,5
5036,X,Y,X,X,Y,_,Y,_,_,7
5037,X,Y,X,_,Y,_,_,_,_,3
5038,Y,X,Y,Y,X,X,_,_,_,6
5039,X,Y,Y,_,X,_,Y,X,Y,5
5040,X,_,Y,_,Y,_,_,_,_,6
5041,Y,_,_,_,X,_,Y,_,_,3
5042,X,_,_,Y,Y,X,X,Y,_,1
5043,X,X,Y,Y,Y,_,X,_,_,5
5044,X,_,Y,Y,Y,X,X,Y,_,1
5045,Y,_,_,_,_,_,_,_,_,4
5046,_,_,_,_,_,_,_,_,_,0
5047,Y,X,Y,_,X,_,X,Y,_,5
5048,Y,_,_,_,_,_,X,_,_,4
5049,_,X,_,_,X,Y,_,Y,Y,2
5050,_,_,_,_,_,_,_,_,_,0
5051,X,_,_,_,Y,_,_,_,_,2
5052,Y,_,Y,Y,X,_,X,_,_,1
5053,X,_,_,Y,Y,_,_,_,_,5
5054,Y,_,_,X,X,Y,Y,_,_,7
5055,Y,X,Y,Y,X,_,X,Y,_,5
5056,Y,_,_,_,X,_,_,_,_,2
5057,Y,X,X,X,X,Y,Y,Y,_,8
5058,Y,_,_,_,X,_,_,_,_,2
5059,_,_,_,X,Y,_,_,_,_,0
5060,Y,_,Y,_,X,_,_,_,_,1
5061,Y,_,X,X,X,Y,Y,_,_,1
5062,X,Y,X,_,Y,_,_,_,_,3
5063,Y,_,_,_,_,_,_,X,_,4
5064,_,_,_,_,_,_,_,_,_,0
5065,_,_,_,_,_,_,_,_,_,0
5066,X,X,Y,Y,Y,X,X,_,Y,7
5067,X,Y,X,_,Y,_,_,_,_,3
5068,X,X,Y,_,Y,_,_,_,_,6
5069,X,Y,X,Y,Y,_,Y,X,_,5
5070,_,_,_,_,_,_,_,_,_,0
5071,_,_,_,_,_,_,_,_,_,0
5072,X,_,_,Y,Y,_,_,_,_,5
5073,_,_,_,_,_,_,_,_,_,0
5074,_,_,_,_,_,_,_,_,_,0
5075,X,Y,X,X,Y,_,Y,_,_,7
5076,Y,_,_,_,_,_,X,_,_,4
5077,_,_,_,_,_,_,_,_,_,0
5078,Y,Y,X,X,X,Y,Y,X,_,8
5079,Y,X,Y,X,X,Y,X,Y,_,8
5080,_,_,_,_,_,_,_,_,_,0
5081,_,Y,_,Y,X,_,_,_,_,0
5082,X,_,_,_,Y,_,Y,_,_,2
5083,X,_,_,Y,Y,_,_,_,_,5
5084,Y,_,_,_,_,_,_,_,_,4
5085,_,_,_,X,Y,_,_,_,_,0
5086,Y,_,_,_,_,_,_,_,_,4
5087,Y,_,_,_,X,_,_,_,_,2
5088,Y,_,_,_,X,_,_,_,_,2
5089,X,Y,_,Y,Y,X,X,_,_,7
5090,Y,X,Y,Y,X,_,_,_,_,6
5091,Y,X,X,X,Y,Y,Y,_,X,7
5092,Y,_,X,X,X,Y,Y,_,_,1
5093,Y,_,_,_,_,_,_,_,_,4
5094,Y,_,_,_,X,_,_,_,_,2
5095,X,Y,_,Y,Y,X,X,_,_,7
5096,_,_,_,_,_,_,_,_,_,0
5097,Y,_,_,X,X,Y,_,_,_,1
5098,X,_,_,_,Y,_,Y,_,_,2
5099,X,_,_,_,Y,_,_,_,_,2
5100,X,X,Y,Y,Y,_,X,_,_,5
5101,Y,_,_,_,X,_,Y,_,_,3
5102,X,_,_,_,Y,_,_,_,_,2
5103,X,_,Y,Y,Y,X,_,_,_,6
5104,Y,_,X,_,Y,Y,X,_,X,3
5105,Y,X,_,Y,X,_,_,_,_,6
5106,Y,_,Y,_,X,_,_,_,_,1
5107,X,_,_,_,Y,Y,_,_,_,3
5108,X,X,Y,_,Y,_,_,_,_,6
5109,X,_,Y,_,Y,_,_,_,_,6
5110,X,Y,X,_,Y,_,_,_,_,3
5111,Y,X,Y,X,X,Y,X,Y,_,8
5112,Y,_,Y,_,X,_,_,_,_,1
5113,_,_,_,_,_,_,_,_,_,0
5114,_,_,_,_,_,_,_,_,_,0
5115,_,_,_,_,Y,_,_,_,_,0
5116,_,_,_,_,_,_,_,_,_,0
5117,Y,_,_,_,_,_,_,_,_,4
5118,Y,X,Y,Y,X,X,X,Y,_,8
5119,Y,X,_,_,X,_,_,Y,_,6
5120,_,_,_,_,_,_,_,_,_,0
5121,_,_,_,_,Y,_,_,_,_,0
5122,_,_,_,Y,_,_,_,_,_,4
5123,Y,X,_,_,X,_,_,Y,_,6
5124,_,_,_,_,_,_,_,_,_,0
5125,_,_,_,_,Y,_,_,_,_,0
5126,X,Y,X,Y,Y,_,Y,X,_,5
5127,Y,_,Y,_,X,_,X,_,_,1
5128,Y,_,_,_,X,_,_,_,_,2
5129,Y,Y,X,_,X,_,Y,_,_,3
5130,X,Y,Y,Y,Y,X,X,_,_,7
5131,X,Y,X,Y,Y,X,_,X,Y,6
5132,X,Y,_,Y,Y,X,Y,X,_,2
5133,_,_,_,_,_,_,Y,_,_,0
5134,X,Y,X,Y,Y,_,Y,X,_,5
5135,Y,_,X,_,_,_,_,_,_,4
5136,X,Y,X,X,Y,_,Y,_,_,7
5137,X,Y,X,_,Y,_,Y,_,_,7
5138,X,_,Y,_,Y,_,_,_,_,6
5139,_,_,_,_,Y,_,_,_,_,0
5140,X,Y,X,X,Y,_,Y,_,_,7
5141,X,_,_,_,Y,_,_,_,_,2
5142,X,_,_,Y,Y,_,_,_,_,5
5143,X,_,Y,_,X,_,Y,_,Y,5
5144,X,Y,X,X,Y,Y,Y,X,_,8
5145,Y,X,_,_,_,_,_,_,_,4
5146,X,X,Y,Y,Y,X,_,Y,_,6
5147,Y,_,_,_,X,_,_,_,_,2
5148,X,Y,Y,Y,Y,X,X,_,_,7
5149,X,Y,X,_,Y,_,Y,_,_,7
5150,X,_,Y,Y,Y,_,X,_,_,5
5151,Y,Y,X,_,X,_,Y,_,_,3
5152,X,Y,_,_,Y,_,_,_,_,7
5153,Y,X,Y,X,X,Y,X,Y,_,8
5154,X,Y,X,_,Y,_,_,_,_,3
5155,Y,X,Y,Y,X,_,_,_,_,6
5156,Y,_,_,_,_,_,_,_,_,4
5157,_,_,_,_,_,_,_,_,_,0
5158,_,_,_,_,_,_,_,_,_,0
5159,Y,X,Y,_,X,_,X,Y,_,5
5160,Y,_,X,_,_,_,_,_,_,4
5161,Y,_,_,_,_,_,X,_,_,4
5162,Y,_,_,_,_,_,_,_,_,4
5163,Y,X,Y,X,X,Y,X,Y,_,8
5164,X,_,Y,Y,Y,_,X,_,_,5
5165,Y,_,_,_,X,_,Y,_,_,3
5166,_,_,_,_,_,_,_,Y,_,0
5167,Y,X,X,_,Y,_,_,_,_,8
5168,X,Y,X,_,Y,_,_,_,_,3
5169,_,_,Y,_,_,_,_,_,_,0
5170,_,Y,_,_,_,_,_,_,_,4
5171,_,_,_,_,_,_,_,Y,_,0
5172,X,X,Y,Y,Y,_,X,_,_,5
5173,_,Y,X,_,Y,X,_,_,_,7
5174,Y,_,_,X,X,Y,Y,_,_,7
5175,Y,_,X,_,X,_,Y,_,_,3
5176,X,Y,_,_,Y,_,_,_,_,7
5177,Y,_,_,_,_,_,_,_,_,4
5178,_,_,_,_,_,_,_,Y,_,0
5179,X,Y,X,Y,_,_,_,_,Y,4
5180,Y,_,Y,_,X,_,X,_,_,1
5181,X,_,Y,Y,Y,_,X,_,_,5
5182,X,_,Y,Y,_,_,_,_,_,4
5183,Y,_,X,_,Y,X,_,_,_,8
5184,Y,_,Y,Y,X,_,X,_,_,1
5185,_,X,_,_,Y,_,_,_,_,0
5186,Y,_,X,_,_,_,_,_,_,4
5187,X,X,Y,Y,Y,_,X,_,_,5
5188,_,_,_,_,_,_,_,_,_,0
5189,X,_,Y,_,_,_,Y,_,_,4
5190,Y,_,_,_,_,_,_,_,_,4
5191,X,Y,X,X,Y,_,Y,_,_,7
5192,X,Y,X,_,Y,Y,_,X,_,3
5193,X,Y,X,Y,Y,_,Y,X,_,5
5194,Y,_,_,X,X,Y,Y,_,_,7
5195,_,_,_,_,Y,_,_,_,_,0
5196,Y,Y,X,X,X,Y,Y,_,_,7
5197,Y,_,X,_,X,_,Y,_,_,3
5198,_,_,_,_,_,_,_,_,_,0
5199,Y,Y,_,_,X,_,_,_,_,2
5200,Y,X,Y,Y,X,X,X,Y,_,8
5201,X,X,Y,Y,Y,_,X,_,_,5
5202,Y,X,X,_,Y,Y,X,Y,X,3
5203,X,_,_,Y,Y,X,X,Y,_,1
5204,X,Y,X,_,_,Y,Y,X,Y,3
5205,Y,X,Y,Y,X,_,X,Y,_,5
5206,X,_,_,Y,Y,_,_,_,_,5
5207,_,_,_,_,_,_,_,_,_,0
5208,_,_,_,_,_,_,_,_,_,0
5209,Y,Y,X,X,X,Y,Y,X,_,8
5210,_,_,_,_,_,_,_,_,_,0
5211,Y,X,X,X,Y,Y,Y,_,X,7
5212,_,_,_,_,_,_,_,_,_,0
5213,_,_,_,_,_,_,Y,_,_,0
5214,_,_,_,_,_,_,_,_,_,0
5215,Y,X,_,_,X,_,_,Y,_,6
5216,Y,Y,_,_,X,_,_,_,_,2
5217,Y,X,_,X,X,Y,Y,Y,_,8
5218,X,_,Y,Y,X,X,Y,_,Y,7
5219,Y,X,Y,X,Y,_,X,Y,X,5
5220,_,_,Y,_,_,_,_,_,_,0
5221,Y,_,Y,Y,X,_,X,_,_,1
5222,X,_,Y,_,_,_,_,_,Y,6
5223,X,X,Y,_,Y,_,_,_,_,6
5224,_,_,_,_,Y,_,_,_,_,0
5225,Y,_,X,_,_,_,_,_,_,4
5226,Y,_,X,_,_,_,_,_,_,4
5227,Y,X,Y,Y,X,_,X,Y,_,5
5228,X,_,_,Y,Y,_,X,_,_,1
5229,_,_,_,_,Y,_,_,X,_,0
5230,Y,_,_,_,_,_,_,_,_,4
5231,X,_,_,_,Y,_,_,_,_,2
5232,_,_,_,_,_,_,_,_,_,0
5233,X,Y,Y,X,X,_,Y,_,Y,5
5234,Y,X,_,_,Y,Y,X,_,X,3
5235,_,_,_,_,_,_,Y,_,_,0
5236,X,Y,Y,Y,Y,X,_,X,_,6
5237,X,Y,X,Y,Y,_,Y,X,_,5
5238,X,X,Y,_,Y,_,_,_,_,6
5239,_,_,_,_,_,_,_,_,_,0
5240,X,Y,_,Y,Y,X,X,_,_,7
5241,Y,_,_,X,X,Y,_,_,_,1
5242,X,Y,X,X,Y,_,Y,X,Y,5
5243,X,_,_,_,Y,_,_,_,_,2
5244,X,_,Y,_,_,_,Y,_,_,4
5245,_,X,_,_,Y,_,_,_,_,0
5246,_,_,_,_,_,_,_,_,_,0
5247,Y,X,Y,Y,X,X,_,Y,_,6
5248,Y,X,_,_,X,_,_,Y,_,6
5249,X,Y,X,X,Y,_,Y,_,_,7
5250,Y,_,_,Y,X,_,_,_,_,6
5251,Y,X,Y,_,X,_,X,Y,_,5
5252,X,Y,_,Y,Y,X,X,_,_,7
5253,Y,_,_,_,_,_,_,_,_,4
5254,X,X,Y,Y,Y,X,X,_,Y,7
5255,Y,_,_,Y,X,_,_,_,_,6
5256,_,_,_,_,_,_,_,_,_,0
5257,Y,X,X,_,Y,_,_,_,_,8
5258,X,_,Y,Y,Y,_,X,_,_,5
5259,_,_,_,_,_,_,_,_,_,0
5260,X,X,Y,Y,Y,_,X,_,_,5
5261,Y,_,_,X,X,Y,_,_,_,1
5262,X,_,_,Y,Y,_,X,_,_,1
5263,Y,_,_,_,X,_,_,_,_,2
5264,_,_,_,_,_,_,_,_,_,0
5265,_,_,_,_,_,_,_,_,_,0
5266,Y,_,Y,X,_,X,Y,_,X,4
5267,Y,Y,X,X,X,Y,Y,_,_,7
5268,Y,Y,X,_,X,_,Y,_,_,3
5269,Y,Y,X,X,X,Y,Y,_,_,7
5270,_,_,_,_,_,_,_,_,_,0
5271,X,_,Y,Y,Y,_,X,_,_,5
5272,Y,_,X,X,X,Y,Y,_,_,1
5273,_,_,_,Y,Y,X,X,Y,X,1
5274,Y,_,X,X,Y,_,_,Y,X,1
5275,Y,X,Y,Y,X,X,X,Y,_,8
5276,X,Y,_,_,Y,_,_,_,_,7
5277,X,_,Y,Y,Y,_,X,_,_,5
5278,X,_,Y,_,X,_,Y,_,Y,5
5279,Y,_,_,_,_,_,_,_,_,4
5280,Y,_,Y,_,X,_,_,_,_,1
5281,Y,_,_,_,X,_,_,_,_,2
5282,Y,_,_,_,_,_,_,_,_,4
5283,_,Y,_,_,_,_,_,_,_,4
5284,X,_,_,_,Y,_,_,_,_,2
5285,Y,_,_,_,X,_,_,_,_,2
5286,X,Y,X,Y,Y,X,_,X,Y,6
5287,Y,_,X,X,X,Y,Y,_,_,1
5288,X,Y,Y,Y,X,_,_,X,Y,5
5289,X,X,Y,Y,Y,_,X,_,_,5
5290,Y,X,Y,_,X,_,X,Y,_,5
5291,X,_,_,_,Y,_,_,_,_,2
5292,Y,X,_,_,X,_,_,Y,_,6
5293,_,_,_,_,Y,_,_,_,_,0
5294,Y,_,_,_,X,_,_,_,_,2
5295,Y,_,_,_,_,_,_,_,_,4
5296,Y,X,Y,Y,X,X,X,Y,_,8
5297,_,_,_,_,_,_,Y,_,_,0
5298,Y,_,_,Y,X,_,_,_,_,6
5299,Y,Y,X,X,X,Y,Y,X,_,8
5300,Y,_,_,_,_,_,_,_,_,4
5301,X,X,Y,Y,Y,X,X,Y,_,8
5302,Y,Y,X,X,X,Y,Y,_,_,7
5303,Y,X,Y,_,X,Y,_,Y,X,6
5304,Y,X,_,_,X,_,_,Y,_,6
5305,X,Y,X,_,Y,Y,_,X,_,3
5306,Y,X,Y,_,X,_,X,Y,_,5
5307,_,_,_,_,_,_,_,_,_,0
5308,Y,X,Y,_,X,_,X,Y,_,5
5309,X,Y,X,_,Y,_,_,_,_,3
5310,_,_,_,_,_,_,_,_,_,0
5311,_,_,_,_,_,_,_,Y,_,0
5312,_,_,_,_,_,_,_,_,_,0
5313,Y,_,_,_,X,_,_,_,_,2
5314,X,Y,X,_,Y,_,_,_,_,3
5315,_,X,Y,Y,X,X,_,Y,Y,6
5316,_,_,Y,_,_,_,_,_,_,0
5317,_,_,_,_,_,_,_,_,_,0
5318,Y,_,_,X,X,Y,_,_,_,1
5319,Y,X,_,_,_,_,_,_,_,4
5320,X,Y,X,Y,Y,_,_,_,X,5
5321,Y,X,_,X,X,Y,Y,Y,_,8
5322,X,X,Y,_,Y,_,_,_,_,6
5323,Y,X,_,X,X,Y,Y,Y,_,8
5324,X,X,Y,Y,Y,X,X,Y,_,8
5325,X,_,_,_,Y,_,_,_,_,2
5326,X,Y,_,Y,Y,X,X,_,_,7
5327,X,_,Y,Y,Y,X,X,Y,_,1
5328,Y,_,_,_,_,_,_,_,_,4
5329,X,Y,X,X,Y,_,Y,_,_,7
5330,Y,X,Y,_,X,_,X,Y,_,5
5331,X,Y,X,X,Y,_,Y,_,_,7
5332,X,Y,_,Y,Y,X,Y,X,_,2
5333,_,_,_,_,_,_,_,_,_,0
5334,X,_,_,Y,Y,_,X,_,_,1
5335,Y,X,_,X,X,Y,_,Y,_,2
5336,_,_,_,_,_,_,_,_,_,0
5337,X,Y,X,X,Y,_,Y,X,Y,5
5338,_,_,_,_,_,_,Y,_,_,0
5339,_,_,_,_,_,_,_,_,_,0
5340,Y,Y,X,X,X,Y,Y,X,_,8
5341,_,_,_,_,Y,_,_,_,_,0
5342,X,Y,X,_,Y,_,_,_,_,3
5343,_,_,_,_,Y,_,_,_,_,0
5344,Y,X,Y,_,X,Y,_,_,_,7
5345,_,_,_,_,Y,_,_,_,_,0
5346,_,_,_,_,_,_,_,_,_,0
5347,Y,_,_,Y,X,_,_,_,_,6
5348,Y,_,X,X,X,Y,Y,Y,_,8
5349,_,X,Y,Y,X,X,_,Y,Y,6
5350,Y,_,_,_,X,_,Y,_,_,3
5351,X,_,Y,Y,Y,X,X,Y,_,1
5352,X,X,Y,_,_,Y,Y,_,_,4
5353,X,_,_,_,Y,_,_,_,_,2
5354,_,_,_,_,_,_,_,_,_,0
5355,X,Y,X,_,Y,Y,Y,X,_,3
5356,X,Y,Y,_,X,_,_,_,Y,3
5357,Y,X,Y,_,X,_,_,Y,_,3
5358,Y,Y,_,X,X,_,Y,_,_,2
5359,_,_,_,_,Y,_,_,_,_,0
5360,X,Y,X,_,Y,Y,Y,X,_,3
5361,_,_,_,_,_,_,_,_,_,0
5362,X,_,_,Y,Y,_,X,_,_,1
5363,X,Y,_,Y,Y,X,X,_,_,7
5364,X,Y,Y,_,X,_,Y,X,Y,5
5365,X,Y,X,_,Y,_,_,_,_,3
5366,Y,X,_,X,X,Y,Y,Y,_,8
5367,_,_,_,_,_,_,_,_,_,0
5368,_,_,_,_,_,_,_,_,_,0
5369,Y,X,Y,_,X,_,X,Y,_,5
5370,_,_,_,_,_,_,_,_,_,0
5371,Y,Y,X,X,X,Y,Y,_,X,7
5372,Y,_,Y,_,X,_,X,_,_,1
5373,X,_,Y,_,Y,_,_,X,_,6
5374,_,_,_,_,_,_,_,_,_,0
5375,_,_,_,Y,_,_,_,_,_,4
5376,X,Y,X,Y,Y,_,_,X,_,5
5377,_,_,Y,_,_,_,_,_,_,0
5378,Y,_,_,_,X,_,Y,_,_,3
5379,X,_,_,_,Y,_,_,_,_,2
5380,_,_,_,X,Y,_,_,_,_,0
5381,Y,X,_,X,X,Y,_,Y,_,2
5382,_,_,_,_,_,_,_,_,_,0
5383,X,_,_,_,Y,_,_,_,_,2
5384,X,Y,X,X,Y,_,Y,_,_,7
5385,_,_,_,_,_,_,Y,_,_,0
5386,Y,_,_,Y,X,_,_,_,_,6
5387,_,_,_,_,_,_,_,_,_,0
5388,Y,Y,X,X,X,Y,Y,X,_,8
5389,X,Y,X,_,Y,_,Y,_,_,7
5390,X,_,_,Y,Y,_,X,_,_,1
5391,X,Y,_,Y,Y,X,_,_,_,7
5392,Y,_,_,_,_,_,X,_,_,4
5393,X,_,_,_,Y,_,_,_,_,2
5394,Y,Y,_,X,X,_,Y,_,_,2
5395,Y,_,_,_,_,_,_,_,_,4
5396,_,_,_,_,_,_,_,_,_,0
5397,X,X,Y,Y,Y,_,X,Y,_,5
5398,_,_,_,_,Y,_,_,X,_,0
5399,Y,Y,X,X,X,Y,Y,_,_,7
5400,Y,X,_,X,Y,Y,X,Y,X,2
5401,_,_,_,_,_,_,_,_,_,0
5402,X,X,Y,_,Y,_,_,_,_,6
5403,X,Y,X,X,Y,_,Y,X,Y,5
5404,_,_,X,_,Y,_,_,_,_,0
5405,Y,X,X,X,X,Y,Y,Y,_,8
5406,Y,X,Y,Y,X,_,X,Y,_,5
5407,Y,X,Y,X,X,Y,X,Y,_,8
5408,Y,Y,X,X,X,Y,Y,_,_,7
5409,Y,_,_,_,X,_,_,_,_,2
5410,X,Y,X,_,Y,_,_,_,_,3
5411,X,Y,X,_,_,_,Y,_,Y,7
5412,_,Y,_,_,_,_,_,_,_,4
5413,_,_,_,_,_,_,_,_,_,0
5414,X,Y,X,_,Y,Y,_,X,_,3
5415,_,_,_,_,X,Y,Y,_,_,0
5416,X,Y,_,_,Y,_,_,_,_,7
5417,X,Y,X,Y,Y,_,Y,X,_,5
5418,X,_,_,_,Y,_,_,_,Y,6
5419,_,_,_,_,_,_,_,_,_,0
5420,Y,_,_,Y,X,_,_,_,_,6
5421,X,X,Y,Y,Y,X,X,Y,_,8
5422,X,_,_,_,Y,_,_,_,_,2
5423,_,_,_,X,Y,_,_,_,_,0
5424,X,_,Y,_,Y,_,_,_,_,6
5425,_,_,_,_,Y,_,_,_,_,0
5426,Y,_,Y,Y,X,_,X,_,_,1
5427,X,Y,_,Y,Y,X,X,X,Y,2
5428,X,Y,_,Y,Y,_,_,X,_,5
5429,_,_,_,_,_,_,_,_,_,0
5430,Y,_,_,_,_,_,_,_,_,4
5431,Y,_,_,_,_,_,_,_,_,4
5432,_,_,_,_,_,_,_,_,_,0
5433,_,_,_,_,_,_,_,_,_,0
5434,X,_,Y,Y,_,_,X,_,Y,5
5435,Y,X,X,X,X,Y,Y,Y,_,8
5436,X,X,Y,Y,Y,X,X,Y,_,8
5437,Y,X,_,_,Y,_,X,_,_,8
5438,Y,X,X,X,X,Y,Y,Y,_,8
5439,X,_,_,Y,Y,X,X,Y,_,1
5440,Y,_,_,_,X,_,Y,_,_,3
5441,Y,_,X,X,X,Y,Y,_,_,1
5442,X,_,Y,Y,Y,_,X,_,_,5
5443,_,_,_,_,_,_,_,_,_,0
5444,X,X,Y,Y,Y,_,_,_,_,5
5445,_,_,X,_,Y,_,_,_,_,0
5446,Y,_,_,X,Y,_,X,_,_,8
5447,Y,_,_,_,X,_,_,_,_,2
